TempsKey,ScenarioKey,CategorieChargeKey,montant
1,3,1,5358546.666666667
1,3,2,495817.5
1,3,3,341676.6666666667
1,3,4,603984.1666666667
1,3,5,41092.5
1,3,6,1019945.8333333334
1,3,7,241748.3333333333
1,3,8,39400.0
1,3,9,12351.666666666668
1,3,10,115798.33333333334
1,3,11,135006.6666666667
1,3,12,237445.0
1,3,13,851570.8333333334
1,3,14,46560.0
1,3,15,4286.666666666667
1,3,16,5273876.666666667
1,3,17,666611.0
1,3,18,16550643.0
1,3,19,28928950.0
1,3,20,394743.0
1,3,21,224933.0
1,3,22,3346298.0
1,3,23,35495.0
1,3,24,2419525.0
1,3,25,194977560.0
1,3,26,890826.0
1,3,27,6611379.0
1,3,28,1823398.0
1,3,29,12900511.0
1,3,30,3486576790.0
1,3,31,11126156.0
2,2,1,14557446.666666668
2,2,2,4858422.5
2,2,3,1042083.3333333334
2,2,4,3264583.333333333
2,2,5,110065.0
2,2,6,4918822.5
2,2,7,1857291.6666666667
2,2,8,93415.0
2,2,9,85375.83333333334
2,2,10,338653.3333333334
2,2,11,297881.6666666667
2,2,12,529583.3333333333
2,2,13,1692208.3333333335
2,2,14,185395.83333333334
2,2,15,12929.166666666668
2,2,16,8795200.833333334
2,2,17,1332446.0
2,2,18,32609725.0
2,2,19,73191934.0
2,2,20,950000.0
2,2,21,382060.0
2,2,22,6876643.0
2,2,23,74608.0
2,2,24,5654932.0
2,2,25,549976.0
2,2,26,1516667.0
2,2,27,14188639.0
2,2,28,3300000.0
2,2,29,26795451.0
2,2,30,8346951.0
2,2,31,30896637.0
2,4,1,4018910.0
2,4,2,371863.3333333334
2,4,3,256257.5
2,4,4,452988.3333333334
2,4,5,30819.166666666668
2,4,6,764960.0
2,4,7,181311.6666666667
2,4,8,29550.0
2,4,9,9263.333333333334
2,4,10,86849.16666666667
2,4,11,101255.0
2,4,12,178084.1666666667
2,4,13,638678.3333333334
2,4,14,34920.0
2,4,15,3215.0
2,4,16,3328607.5
2,4,17,499958.0
2,4,18,12412982.0
2,4,19,916872.0
2,4,20,296057.0
2,4,21,168700.0
2,4,22,2509724.0
2,4,23,26621.0
2,4,24,1798629.0
2,4,25,145819.0
2,4,26,560000.0
2,4,27,4856875.0
2,4,28,1424074.0
2,4,29,8863634.0
2,4,30,2128529.0
2,4,31,9677759.0
3,2,17,682443.0
3,2,18,16610000.0
3,2,19,9191934.0
3,2,20,500000.0
3,2,21,230275.0
3,2,22,3523652.0
3,2,23,40000.0
3,2,24,3077654.0
3,2,25,190000.0
3,2,26,821333.0
3,2,27,8101639.0
3,2,28,1300000.0
3,2,29,14100000.0
3,2,30,4200000.0
3,2,31,18302627.0
