TempsKey,ScenarioKey,ProduitKey,stock_initial_qte,stock_initial_prix,stock_initial_montant,stock_initial_prix_net,stock_initial_montant_net,stock_initial_prix_pv,reception_qte,reception_pu,reception_montant,vente_qte,vente_pu,vente_montant,pertes_qte,stock_final_qte,stock_final_prix,stock_final_montant,stock_final_prix_pv,stock_final_montant_net
2,2,16,0.0,4664.603,0.0,,0.0,3496.482,980000.0,4685.806,2296045405.5,980000.0,3496.482,1713276570.2470002,0.0,0.0,4685.806,0.0,3496.482,0.0
2,2,17,3789.809,4865.6669999999995,8848731.668,,6666479.391,3518.108,450000.0,2399.14,1079613136.8,450000.0,1759.054,791574384.359,-0.191,3790.0,4734.014999999999,8849177.629,3518.108,6666815.37
2,2,18,0.0,2655.95,0.0,,0.0,0.0,250000.0,2525.793,631448138.75,250000.0,2580.817,645204201.25,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2,0.0,0.0,0.0,240.563,0.0,,346693.259,1892.409,656085496.986,346693.259,240.563,83401570.465,0.0,0.0,0.0,0.0,240.563,0.0
2,3,3,0.0,0.0,0.0,240.563,0.0,,16587.675,2012.306,33379471.528,16587.675,240.563,3990380.861,0.0,0.0,0.0,0.0,240.563,0.0
2,3,5,38765.829,5258.129999999999,101873385.937,4007.428,77675617.082,,639700.5769999999,4456.241,1430126196.827,627419.59,4020.096,1259309276.324,0.0,51046.816,4538.138999999999,115810036.28299999,4015.088,102478715.969
2,3,6,0.0,0.0,0.0,0.0,0.0,,104859.919,1406.076,147441057.792,104859.919,849.963,89127051.333,0.0,0.0,0.0,0.0,1699.926,0.0
2,3,10,0.0,1886.569,0.0,240.563,0.0,,44391.059,1899.701,84329753.59,44391.059,240.563,10678846.326,0.0,0.0,1899.701,0.0,240.563,0.0
2,3,12,0.001,0.0,0.0,240.563,0.0,,360.02,2293.413,825674.531,360.02,240.563,86607.491,0.0,0.001,0.0,0.0,240.563,0.0
2,3,13,0.0,0.0,0.0,263.405,0.0,,9886.545,1906.331,18847029.14,9886.545,305.368,3019032.275,0.0,0.0,0.0,0.0,205.449,0.0
